chr,start,end,gc,mcf7rt,bin_size
1,1000000,1500000,0.59833,81.44197991378785,500000
1,1500000,2000000,0.539496,79.13101287622071,500000
1,2000000,2500000,0.594508,78.55731279704284,500000
1,3000000,3500000,0.58457,70.38807586180114,500000
1,4000000,4500000,0.482572,48.66309187078858,500000
1,4500000,5000000,0.481828,30.079553246967315,500000
1,5000000,5500000,0.447444,27.574518815662383,500000
1,5500000,6000000,0.491128,51.61562097348023,500000
1,6000000,6500000,0.54507,77.41918593342591,500000
1,6500000,7000000,0.489968,74.90347850424195,500000
1,7000000,7500000,0.47067,66.26535772834778,500000
1,7500000,8000000,0.48825,67.81537152204895,500000
1,8000000,8500000,0.462702,70.52562701069641,500000
1,8500000,9000000,0.426008,72.46493497216797,500000
1,9000000,9500000,0.50669,74.74179600326538,500000
1,9500000,10000000,0.497248,77.18173804335022,500000
1,10000000,10500000,0.445162,75.05636308244324,500000
1,10500000,11000000,0.511386,74.38395959112549,500000
1,11000000,11500000,0.48021,72.8017448100586,500000
1,11500000,12000000,0.519872,71.4482668789978,500000
1,12000000,12500000,0.476294,70.66280181158447,500000
1,12500000,13000000,0.462062,65.13242890273285,500000
1,14000000,14500000,0.431398,47.09119704856872,500000
1,14500000,15000000,0.431122,43.33839396400452,500000
1,15000000,15500000,0.494932,61.2443689475708,500000
1,15500000,16000000,0.472724,74.89132530171203,500000
1,16000000,16500000,0.51308,80.58487741773988,500000
1,16500000,17000000,0.47931,76.5570028170929,500000
1,17500000,18000000,0.51339,78.51693045649719,500000
1,18000000,18500000,0.494526,62.52959611409759,500000
1,18500000,19000000,0.488696,55.901858500312805,500000
1,19000000,19500000,0.49686,69.40195875151062,500000
1,19500000,20000000,0.477782,73.27637039093018,500000
1,20000000,20500000,0.462494,66.47109783370972,500000
1,20500000,21000000,0.485118,68.12963821353149,500000
1,21000000,21500000,0.415468,70.99655561871337,500000
1,21500000,22000000,0.505596,76.20474979956055,500000
1,22000000,22500000,0.489918,77.30087020292663,500000
1,22500000,23000000,0.493014,69.59018251248169,500000
1,23000000,23500000,0.473728,68.99593854624939,500000
1,23500000,24000000,0.47209,77.24217966601563,500000
1,24000000,24500000,0.473276,77.04711955448913,500000
1,24500000,25000000,0.456136,72.49018237721252,500000
1,25000000,25500000,0.482682,69.28641232789612,500000
